id,english,japanese
114,female,女性の
115,head,向かう
116,follow,～の後について行く
117,wander,歩き回る
118,travel,旅行する
119,pass,～を通り過ぎる
120,likely,～しそうだ
121,natural,当然の
122,certain,確かな
123,probably,おそらく
124,face,～に直面する
125,avoid,～を避ける
126,solve,～を解決する
127,trouble,問題
128,issue,問題
129,cheer,～に声援を送る
130,encourage,に促す
131,support,～を支持する
132,prevent,を妨げる
133,deny,～を否定する
134,enable,に可能にする
135,succeed,成功する
136,miss,～を逃す
137,fail,失敗する
138,mistake,間違い
139,check,～を調べる
140,hide,～を隠す
141,draw,を描く
142,join,に加わる
143,throw,～を投げる
144,operate,を操作する
145,repair,～を修理する
146,sew,～を縫う
147,raise,～を上げる
148,serve,を出す
149,pour,～を注ぐ
150,spill,～をこぼす
151,pretend,ふりをする
152,behave,ふるまう
153,bear,～に耐える
154,explore,～を探検する
155,happen,起こる
156,appear,現れる
157,remain,～のままでいる
158,survive,生き残る
159,belong,所属している
160,represent,～を代表する
161,base,～の基礎を置く
162,include,～を含む
163,contain,～を含む
164,own,自分自身の
165,share,～を共有する
166,collect,を集める
167,gather,～を集める
168,history,歴史
169,subject,科目
170,education,教育
171,knowledge,知識
172,uniform,制服
173,grade,学年
174,senior,最上級生
175,graduate,卒業する
176,decide,を決定する
177,judge,～を判断する
178,quit,～をやめる
179,retire,引退する
180,review,再検討
181,choose,～を選ぶ
182,imagine,～を想像する
183,guess,～を推測する
184,expect,～を予期する
185,predict,～を予測する
186,remember,を覚えている
187,remind,に思い出させる
188,realize,～を理解する
189,appreciate,～を理解する
190,accept,～を受け入れる
191,consider,～をよく考える
192,mind,気にする
193,wonder,～かなと思う
194,seem,～のように思われる
195,compare,を比較する
196,concentrate,集中する
197,focus,焦点を当てる
198,allow,～を許可する
199,admit,～を認める
200,ground,地面
201,pollution,汚染
202,sight,光景
203,view,眺め
204,landscape,風景
205,nature,自然
206,seed,種
207,plant,植物
208,bloom,咲く
209,harvest,収穫
210,insect,昆虫
211,earthquake,地震
212,temperature,温度
213,degree,度
214,flood,洪水
215,freeze,凍る
216,reflect,～を反射する
217,polite,礼儀正しい
218,rude,無礼な
219,lonely,孤独な
220,lazy,怠惰な
221,strict,厳しい
222,ugly,醜い
223,intelligent,知的な
224,silly,ばかな
225,nervous,あがって
226,awake,目を覚まして
227,alone,1人で
228,attitude,態度
229,character,性格
230,characteristic,特徴
231,feature,特徴
232,detail,詳細
233,advantage,利点
234,fault,欠点
235,quality,質
236,correct,正確な
237,ideal,理想的な
238,fair,公正な
239,appropriate,適切な
240,famous,有名な
241,elementary,初歩的な
242,major,主要な
243,matter,重要である
244,bright,明るい
245,brilliant,輝いている
246,lively,生き生きとした
247,comfortable,快適な
248,pleasant,楽しい
249,convenient,都合がよい
250,FALSE,誤った
251,terrible,ひどい
252,awful,ひどい
253,thin,薄い
254,tight,引き締まった
255,loose,ゆるい
256,raw,生の
257,empty,空の
258,smooth,滑らかな
259,direct,直接的な
260,familiar,知られた
261,similar,似た
262,differ,異なる
263,vary,さまざまだ
264,specific,特定の
265,common,普及した
266,unusual,珍しい
267,add,～を加える
268,increase,増える
269,reduce,～を減らす
270,divide,～を分割する
271,count,～を数える
272,weigh,～の重さがある
273,quarter,分の
274,lot,多くの～
275,pile,積み重ね
276,rate,割合
277,figure,数字
278,lack,不足
279,extra,余分な
280,ready,用意ができている
281,prepare,～の準備をする
282,adjust,慣れる
283,apply,当てはまる
284,suit,に適している
285,case,場合
286,scene,場面
287,chance,機会
288,opportunity,機会
289,experience,経験
290,time,時間
291,spring,春
292,minute,分
293,age,年齢
294,generation,世代
295,anniversary,記念日
296,recently,最近
297,used,以前は～だった
298,early,早く
299,first,第の
300,latest,最新の
301,modern,現代の
302,ancient,古代の
303,spend,を費やす
304,delay,～を遅らせる
305,borrow,～を借りる
306,lend,～を貸す
307,rent,～を借りる
308,provide,を供給する
309,board,板
310,garbage,ごみ
311,item,品物
312,wheel,車輪
313,note,メモ
314,present,プレゼント
315,bargain,買い得品  交渉する
316,stuff,もの
317,string,ひも
318,leisure,余暇
319,diet,食事
320,furniture,家具
321,refrigerator,冷蔵庫
322,traffic,交通
323,sell,～を売る
324,pay,を支払う
325,wear,～を身につけている
326,clothes,服
327,marry,～と結婚する
328,greet,～に挨拶する
329,order,～を注文する
330,room,部屋
331,story,階
332,site,用地
333,yard,庭
334,bottom,底
335,line,列
336,row,列
337,background,背景
338,direction,方向
339,culture,文化
340,art,芸術
341,cartoon,漫画
342,novel,小説
343,instrument,楽器
344,tune,曲
345,sentence,文
346,article,記事
347,passage,一節
348,vocabulary,語彙
349,rumor,うわさ
350,spell,～をつづる
351,pronounce,を発音する
352,sign,兆候
353,mean,～を意味する
354,publish,～を出版する
355,display,～を展示する
356,trust,～を信頼する
357,depend,次第である
358,rely,頼る
359,pray,祈る
360,beg,～を嘆願する
361,prefer,を好む
362,weep,しくしく泣く
363,hate,～を嫌う
364,worry,心配をする
365,anxious,心配して
366,satisfy,～を満足させる
367,annoy,～を苛立たせる
368,bother,～に面倒をかける
369,disturb,～に迷惑をかける
370,frighten,～を怯えさせる
371,regret,～を後悔する
372,favor,親切な行為
373,interest,関心
374,pity,残念なこと
375,due,が原因で
376,reason,理由
377,result,結果
378,effect,効果
379,influence,影響（力)
380,end,結局～することになる
381,cause,～を引き起こす
382,affect,～に影響を与える
383,way,方法
384,manner,方法
385,purpose,目的
386,sake,ため
387,right,ちょうど
388,complete,完全な
389,hardly,ほとんど～ない
390,almost,ほとんど
391,partly,ある程度
392,indeed,実際に
393,even,さえも
394,exactly,正確に
395,gradually,徐々に
396,therefore,それゆえに
397,instead,代わりに
398,until,～まで（ずっと)
399,besides,～に加えて
400,except,～を除いて
401,debate,討論
402,criticize,～を批判する
403,accuse,～を非難する
404,insist,言い張る
405,object,反対する
406,protest,抗議する
407,controversial,論争を招く
408,bound,きっと～する
409,bet,きっと～だと思う
410,demand,～を要求する
411,desire,願望
412,praise,を褒める
413,honor,名誉
414,chat,おしゃべりする
415,refer,言及する
416,mention,～について述べる
417,convey,～を伝える
418,demonstrate,～を示す
419,emphasize,～を強調する
420,exaggerate,～を誇張する
421,reply,返事をする
422,respond,返答する
423,whisper,ささやく
424,remark,発言
425,observe,～を観察する
426,theory,理論
427,analysis,分析
428,phenomenon,現象
429,device,装置
430,experiment,実験
431,chemical,化学物質
432,fuel,燃料
433,nuclear,原子力の
434,statistics,統計
435,pursue,～を追求する
436,accomplish,～をやり遂げる
437,overcome,～を克服する
438,fulfill,を果たす
439,devote,をささげる
440,strive,努力する
441,aim,狙う
442,challenge,難問
443,trial,試み
444,dizzy,めまいがして
445,appetite,食欲
446,starve,餓死する
447,mental,精神の
448,rest,休憩
449,surgery,手術
450,disease,病気
451,stomachache,腹痛
452,symptom,症状
453,cancer,がん
454,ambulance,救急車
455,recover,回復する
456,sore,痛い
457,swell,腫れる
458,cough,咳をする
459,bleed,出血する
460,faint,かすかな
461,exhaust,～を疲れ果てさせる
462,cure,～を治療する
463,disabled,障がいのある
464,stiff,凝った
465,muscle,筋肉
466,tongue,舌
467,sense,感覚
468,sweat,汗
469,gender,性
470,nationality,国籍
471,citizen,市民
472,civil,市民の
473,racial,人種の
474,rural,田舎の
475,domestic,国内の
476,global,世界的な
477,suburb,郊外
478,border,国境
479,burden,重荷
480,impact,影響
481,status,地位
482,equal,等しい
483,relationship,関係
484,reputation,評判
485,trend,風潮
486,service,事業
487,religion,宗教
488,moral,道徳的な
489,standard,基準
490,prosperity,繁栄
491,crisis,危機
492,prejudice,偏見
493,discrimination,差別
494,charity,慈善
495,benefit,恩恵
496,welfare,福祉
497,community,社会
498,individual,個人
499,official,役人
500,immigrant,移民
501,volunteer,ボランティア
502,interact,交流する
503,contribute,貢献する
504,abolish,～を廃止する
505,impose,を課す
506,access,利用する権利
507,duty,義務
508,responsible,責任がある
509,policy,政策
510,elect,～を選ぶ
511,industry,工業
512,income,収入
513,profit,利益
514,tax,税金
515,expense,費用
516,debt,借金
517,deposit,預金
518,charge,料金
519,wage,賃金
520,recession,不況
521,consume,～を消費する
522,waste,～を浪費する
523,invest,を投資する
524,import,～を輸入する
525,financial,財政的な
526,hire,～を雇う
527,employ,を雇う
528,resign,辞職する
529,qualify,資格がある
530,assign,～を割り当てる
531,occupation,職業
532,career,職業
533,profession,職業
534,unemployment,失業
535,document,書類
536,department,部門
537,branch,支店
538,retail,小売り
539,colleague,同僚
540,system,制度
541,structure,構造
542,architecture,建築
543,construction,建設
544,function,機能
545,surface,表面
546,aspect,側面
547,edge,端
548,makeup,構成
549,consist,構成されている
550,compose,～を構成する
551,attach,～をくっつける
552,connect,～をつなげる
553,relate,を関連づける
554,associate,を関連づける
555,stick,～を貼り付ける
556,thief,泥棒
557,crime,犯罪
558,motive,動機
559,punish,を罰する
560,violate,に違反する
561,legal,合法の
562,enemy,敵
563,conflict,対立
564,compete,競争する
565,defeat,を打ち負かす
566,victim,犠牲者
567,obstacle,障害
568,harm,害
569,invade,を侵害する
570,endanger,～を危険にさらす
571,interrupt,～を中断する
572,spoil,～を台無しにする
573,spectator,観客
574,relative,親戚
575,departure,出発
576,destination,目的地
577,transportation,交通機関
578,vehicle,車両
579,baggage,手荷物
580,via,～経由で
581,lead,至る
582,rise,上がる
583,flow,流れる
584,burst,破裂する
585,melt,溶ける
586,commute,通勤する
587,accompany,～と一緒に行く
588,emit,を排出する
589,progress,進歩
590,advance,進歩
591,deal,扱う
592,handle,～を扱う
593,treat,～を扱う
594,clue,手がかり
595,restrict,～を制限する
596,limit,を制限する
597,forbid,～を禁じる
598,ban,禁止
599,refuse,～するのを拒む
600,reject,～を拒絶する
601,persuade,を説得して～させる
602,convince,に確信させる
603,inspire,～を奮起させる
604,discourage,～のやる気をなくさせる
605,promote,～を促進する
606,boost,～を促進させる
607,expand,拡大する
608,extend,～を延長する
609,broaden,～を広げる
610,spread,～を広げる
611,tie,を縛る
612,fasten,～を固定する
613,fix,～を固定する
614,install,を設置する
615,resist,～を我慢する
616,obey,～に従う
617,engage,従事する
618,bump,ぶつかる
619,bend,身をかがめる
620,hug,を 抱きしめる
621,stare,じっと見つめる
622,gaze,見つめる
623,glance,ちらりと見る
624,glimpse,～がちらりと見える
625,stretch,を伸ばす
626,stumble,つまずく
627,press,～を押す
628,drag,～を引きずる
629,lean,寄りかかる
630,scratch,～をひっかく
631,bow,おじぎする
632,nod,うなずく
633,sigh,ため息をつく
634,yawn,あくびをする
635,sneeze,くしゃみをする
636,bury,～を埋める
637,perform,～を遂行する
638,adopt,～を採用する
639,escape,逃れる
640,scatter,～をまき散らす
641,fold,～を折る
642,hang,～を掛ける
643,release,～を解放する
644,strike,～を打つ
645,beat,～を打つ
646,protect,～を守る
647,twist,～を曲げる
648,skip,～をサボる
649,expose,～をさらす
650,stir,を混ぜる
651,shake,～を振る
652,polish,～を磨く
653,attend,～に出席する
654,imitate,～をまねる
655,conduct,～を行う
656,struggle,苦闘する
657,burn,焼ける
658,cheat,ごまかす
659,participate,参加する
660,exist,存在する
661,arise,生じる
662,occur,生じる
663,involve,巻き込まれる
664,require,～を必要とする
665,counterpart,対応する人
666,advent,到来
667,maintain,～を維持する
668,last,続く
669,persist,持続する
670,examine,～を調査する
671,gain,～を増す
672,obtain,を得る
673,acquire,～を習得する
674,search,を捜す
675,logical,論理的な
676,scholarship,奨学金
677,instruction,指示
678,determine,～を決める
679,conclude,～と結論を下す
680,distinguish,～を区別する
681,classify,～を分類する
682,estimate,～を推定する
683,organize,をまとめる
684,recognize,が誰だかわかる
685,suppose,～することになっている
686,assume,～と思い込む
687,care,気にする
688,approve,認める
689,notice,～に気がついている
690,aware,気づいている
691,conscious,意識している
692,concerned,関心を持っている
693,regard,をみなす
694,commit,～に専念する
695,doubt,～を疑う
696,memorize,～を暗記する
697,forgive,を許す
698,grant,～を当然のことと思う
699,recall,～を思い出す
700,outlook,考え方
701,perspective,視点
702,abandon,～を捨てる
703,eliminate,を排除する
704,rid,を処分する
705,remove,～を取り除く
706,resource,資源
707,conservation,保護
708,preserve,を保護する
709,disaster,災害
710,planet,惑星
711,environment,環境
712,horizon,水平線
713,layer,層
714,agriculture,農業
715,crop,作物
716,soil,土
717,weed,雑草
718,pollen,花粉
719,drown,溺れ死ぬ
720,leak,漏れる
721,climate,気候
722,atmosphere,大気
723,forecast,予報
724,humid,湿気が多い
725,tropical,熱帯の
726,solar,太陽の
727,species,種
728,pesticide,殺虫剤
729,extinct,絶滅した
730,feed,～にえさを与える
731,energetic,活発な
732,greedy,貪欲な
733,brave,勇敢な
734,generous,気前のよい
735,intellectual,知的な
736,curious,好奇心が強い
737,imaginative,想像力豊かな
738,afford,～する余裕がある
739,eager,熱心な
740,selfish,利己的な
741,aggressive,攻撃的な
742,cruel,残酷な
743,addicted,～の中毒になっている
744,stubborn,頑固な
745,bold,大胆な
746,guilty,申し訳なく思う
747,innocent,無実の
748,sincere,誠実な
749,modest,謙虚な
750,stupid,ばかな
751,indifferent,無関心で
752,punctual,時間を守る
753,coward,臆病者
754,precise,正確な
755,accurate,正確な
756,proper,適切な
757,tidy,きちんとした
758,efficient,能率的な
759,reasonable,理にかなった
760,significant,重要な
761,precious,貴重な
762,essential,不可欠な
763,fundamental,根本的な
764,outweigh,～に勝る
765,critical,重大な
766,serious,深刻な
767,complex,複雑な
768,complicated,複雑な
769,delicate,繊細な
770,plain,明白な
771,obvious,明白な
772,remarkable,注目すべき
773,outstanding,傑出した
774,various,さまざまな
775,diversity,多様性
776,sort,種（類)
777,marvelous,驚くべき
778,active,積極的な
779,positive,前向きな
780,pure,純粋な
781,steady,着実な
782,flexible,柔軟な
783,ripe,熟した
784,stable,安定した
785,negative,否定的な
786,vague,曖昧な
787,weird,変な
788,rough,粗い
789,severe,厳しい
790,passive,受動的な
791,vain,無駄に
792,fake,偽の
793,risky,危険な
794,odd,奇妙な
795,ignorant,無知の
796,contrast,対比
797,valid,妥当な
798,rare,珍しい
799,casual,気楽な
800,available,手に入る
801,practical,現実的な
802,abstract,抽象的な
803,brand-new,新品の
804,secondhand,中古の
805,rapid,急速な
806,urgent,緊急の
807,shallow,浅い
808,sharp,急激な
809,calm,落ち着いた
810,naked,裸の
811,independent,独立した
812,tense,張り詰めた
813,narrow,狭い
814,vacant,空いている
815,vivid,鮮明な
816,awkward,ぎこちない
817,objective,客観的な
818,manual,手を使う
819,alike,似ている
820,alien,異質な
821,tend,～する傾向にある
822,deserve,～に値する
823,fragment,破片
824,range,範囲
825,scale,規模
826,unique,特有の
827,particular,ある特定の
828,typical,典型的な
829,general,一般的な
830,ordinary,平凡な
831,account,占める
832,calculate,～を計算する
833,measure,～を測る
834,decline,減る
835,split,～を割る
836,volume,容積
837,proportion,比率
838,dozen,ダース
839,amount,量
840,mass,大量
841,shortage,不足
842,enormous,莫大な
843,spare,余分な
844,arrange,～を手配する
845,adapt,適応する
846,match,～と調和する
847,fit,に合う
848,emergency,緊急事態
849,occasion,場合
850,accidental,偶然の
851,current,最新の
852,temporary,一時的な
853,permanent,永久的な
854,previous,前の
855,former,前者
856,contemporary,現代の
857,lately,最近
858,immediately,すぐに
859,deadline,締め切り
860,decade,10年
861,supply,～を供給する
862,replace,～に取って代わる
863,exchange,～を交換する
864,substitute,代わりにを用いる
865,submit,を提出する
866,alternative,代わりのもの
867,deliver,～を配達する
868,enclose,～を同封する
869,envelope,封筒
870,trick,いたずら
871,load,荷
872,content,中身
873,household,所帯
874,good,商品
875,luxury,高級
876,credit,クレジットカード
877,questionnaire,アンケート
878,reservation,予約
879,fuss,大騒ぎ
880,reward,報酬
881,farewell,別れ
882,reception,もてなし
883,portion,1盛り
884,laundry,〈米〉洗濯
885,nap,昼寝
886,wake,目が覚める
887,vending machine,自動販売機
888,grocery,食料雑貨店
889,appointment,予約
890,consult,～に相談する
891,register,～を登録する
892,dye,～を染める
893,subscribe,定期購読する
894,guarantee,～を保証する
895,wipe,～を拭く
896,sweep,を掃く
897,transfer,乗り換える
898,divorce,離婚する
899,fate,運命
900,destiny,運命
901,flavor,風味
902,perfume,香り
903,ingredient,材料
904,bitter,苦い
905,aisle,通路
906,track,足跡
907,district,地区
908,facility,施設
909,height,高さ
910,distant,遠い
911,locate,～に位置している
912,occupy,～を占める
913,surround,～を取り囲む
914,classical,クラシックの
915,civilization,文明
916,heritage,遺産
917,script,台本
918,tale,話
919,literature,文学
920,tragedy,悲劇
921,poetry,詩
922,biography,伝記
923,term,用語
924,proverb,諺
925,dialect,方言
926,fluent,流暢な
927,translate,～を翻訳する
928,define,～を定義する
929,interpret,～を解釈する
930,quote,～を引用する
931,literally,文字どおりに
932,indicate,～を示す
933,reveal,～を明らかにする
934,announce,～を発表する
935,broadcast,～を放送する
936,prove,～を証明する
937,advertise,～を宣伝する
938,clarify,～を明らかにする
939,seek,～を求める
940,entertain,～を楽しませる
941,amuse,～を楽しませる
942,attract,～を引きつける
943,fascinate,～を魅了する
944,absorb,～に没頭する
945,fond,好きだ
946,scare,～をおびえさせる
947,alarm,～をぎょっとさせる
948,amaze,～を驚かせる
949,irritate,～をいらいらさせる
950,upset,～を動揺させる
951,puzzle,～を当惑させる
952,confuse,～を混乱させる
953,bore,～をうんざりさせる
954,frustrate,～を欲求不満にさせる
955,disappoint,～を失望させる
956,embarrass,～に恥ずかしい思いをさせる
957,ashamed,恥ずかしい
958,uneasy,不安な
959,hesitate,ためらう
960,reluctant,気が進まない
961,tremble,震える
962,boast,自慢する
963,jealous,嫉妬した
964,envy,～を羨ましく思う
965,yell,叫ぶ
966,respect,を尊敬する
967,despair,絶望
968,emotion,感情
969,sympathy,同情
970,shame,残念なこと
971,confidence,自信
972,courage,勇気
973,passion,情熱
974,sorrow,悲しみ
975,ignore,を無視する
976,offend,～を怒らせる
977,depress,～を憂うつにさせる
978,owe,はおかげだ
979,fear,恐怖
980,method,方法
981,medium,手段
982,means,手段
983,extent,程度
984,extremely,極度に
985,total,全体の
986,largely,大部分は
987,moderate,適度な
988,somewhat,いくぶん
989,subtle,かすかな
990,possibly,ひょっとすると
991,eventually,最終的に
992,necessarily,必ずしも
993,frankly,率直に
994,ironically,皮肉なことに
995,moreover,その上
996,otherwise,さもなければ
997,regardless,無関係に
998,worth,～の価値がある
999,according to,によれば
1000,despite,～にもかかわらず
1001,propose,～を提案する
1002,dismiss,を退ける
1003,bless,～を祝福する
1004,glory,栄光
1005,compliment,褒め言葉
1006,feast,宴会
1007,declare,～を宣言する
1008,highlight,～を強調する
1009,imply,～をほのめかす
1010,recite,～を暗唱する
1011,ray,光線
1012,radiation,放射線
1013,laboratory,研究室
1014,oxygen,酸素
1015,molecule,分子
1016,compound,化合物
1017,tissue,組織
1018,cell,細胞
1019,gene,遺伝子
1020,substance,物質
1021,solid,固体の
1022,satellite,衛星
1023,orbit,軌道
1024,launch,を打ち上げる
1025,attempt,試み
1026,capacity,能力
1027,capable,力がある
1028,attain,～を達成する
1029,desperate,必死の
1030,dedicate,を捧げる
1031,pain,苦痛
1032,strain,負担
1033,remedy,治療法
1034,pharmacy,薬局
1035,physician,〈米〉医師
1036,disorder,不調
1037,pregnant,妊娠した
1038,clinical,臨床の
1039,heal,～を治す
1040,infect,に感染させる
1041,ankle,足首
1042,thumb,親指
1043,forehead,額
1044,chin,下あご
1045,chest,胸（部)
1046,breast,胸
1047,lung,肺
1048,organ,臓器
1049,vision,視力
1050,skeleton,骸骨
1051,sensation,感覚
1052,code,規定
1053,agenda,議題
1054,liberty,自由
1055,committee,委員会
1056,humanity,人類
1057,mankind,人類
1058,authority,権威
1059,justice,正義
1060,insurance,保険
1061,hardship,苦難
1062,poverty,貧困
1063,chaos,大混乱
1064,isolation,孤立
1065,region,地域
1066,proof,証拠
1067,warranty,保証
1068,principle,原理
1069,origin,起源
1070,setting,環境
1071,mission,任務
1072,project,計画
1073,monument,記念碑
1074,revolution,革命
1075,contract,契約
1076,infrastructure,インフラ
1077,negotiate,交渉する
1078,cooperate,協力する
1079,restore,を回復する
1080,found,～を創立する
1081,conservative,保守的な
1082,affair,情勢
1083,agency,機関
1084,council,議会
1085,kingdom,～界
1086,republic,共和国
1087,empire,帝国
1088,aid,援助
1089,reform,改革
1090,minister,大臣
1091,parliament,議会
1092,territory,領土
1093,poll,世論調査
1094,fortune,財産
1095,property,財産
1096,fund,資金
1097,stock,株（式)
1098,labor,労働
1099,overwork,働きすぎる
1100,firm,会社
1101,union,労働組合
1102,administration,経営
1103,secretary,秘書
1104,editor,編集長
1105,client,依頼人
1106,recruit,～を新規採用する
1107,basis,基礎
1108,element,要素
1109,constitute,～を構成する
1110,unify,～を統一する
1111,combine,を結びつける
1112,unite,団結する
1113,link,関連
1114,relevant,関連のある
1115,murder,殺人
1116,arrest,～を逮捕する
1117,prison,刑務所
1118,vice,犯罪
1119,witness,目撃者
1120,bullet,弾丸
1121,sword,剣
1122,wound,傷
1123,triumph,勝利
1124,military,軍事的な
1125,strategy,戦略
1126,conquer,を征服する
1127,defend,を守る
1128,dominate,～を支配する
1129,rob,を襲う
1130,deprive,から奪う
1131,devastate,を壊滅させる
1132,crash,激突する
1133,hazard,危険
1134,debris,破片
1135,orphan,孤児
1136,slave,奴隷
1137,acquaintance,知人
1138,merchant,商人
1139,resident,住人
1140,crew,乗組員
1141,chase,～を追いかける
1142,proceed,進む
1143,fade,薄れる
1144,dissolve,溶ける
1145,float,浮かぶ
1146,sink,沈む
1147,bounce,跳ねる
1148,transform,～を変える
1149,shift,転換
1150,modify,～を修正する
1151,revise,を修正する
1152,enhance,～を向上させる
1153,lower,～を下げる
1154,voyage,航海
1155,confirm,～を確認する
1156,ensure,～を確実にする
1157,address,～に取り組む
1158,approach,取り組み方
1159,resolve,～を解決する
1160,settle,を解決する
1161,enrich,～を豊かにする
1162,warn,～に警告する
1163,force,～に強いる
1164,appeal,訴える
1165,applause,拍手
1166,leap,跳ぶ
1167,grab,～をつかむ
1168,seize,～をつかむ
1169,cast,～を投げる
1170,stun,～を気絶させる
1171,illuminate,～を照らす
1172,uncover,～を明らかにする
1173,mend,～を修繕する
1174,react,反応する
1175,endure,～に耐える
1176,bind,～を結びつける
1177,encounter,～に偶然出会う
1178,trace,～を捜し出す
1179,undergo,～を経験する
1180,seal,～を密封する
1181,incorporate,～を取り入れる
1182,emerge,現れる
1183,unfold,展開する
1184,derive,由来する
1185,generate,を生み出す
1186,possess,～を所有している
1187,retain,～を保持する
1188,secure,を確保する
1189,capture,～を捕らえる
1190,monitor,～を監視する
1191,investigate,～を調査する
1192,detect,～を探知する
1193,inquiry,調査
1194,specialize,専攻する
1195,semester,学期
1196,biology,生物学
1197,ecology,生態
1198,philosophy,哲学
1199,geography,地理
1200,institution,機関
1201,faculty,能力
1202,intermediate,中級の
1203,notion,考え
1204,concept,概念
1205,meditation,瞑想
1206,insight,洞察（力)
1207,caution,用心
1208,will,意志
1209,option,選択肢
1210,prospect,見通し
1211,cherish,～を大切にする
1212,intend,～するつもりだ
1213,suspect,～ではないかと思う
1214,identify,～を特定する
1215,permit,～を許可する
1216,acknowledge,～を認める
1217,perceive,を認識する
1218,evaluate,～を評価する
1219,cultivate,～を耕す
1220,shade,日陰
1221,breeze,そよ風
1222,desert,砂漠
1223,fog,霧
1224,moisture,湿気
1225,damp,湿った
1226,path,道
1227,trail,山道
1228,stream,小川
1229,tide,潮
1230,reef,礁
1231,habitat,生息地
1232,volcano,火山
1233,mine,鉱山
1234,swallow,ツバメ
1235,web,巣
1236,mosquito,蚊
1237,cattle,ウシ
1238,kitten,子ネコ
1239,organism,生物
1240,wildlife,野生生物
1241,beast,野獣
1242,ape,類人猿
1243,flock,群れ
1244,vein,静脈
1245,breed,繁殖する
1246,reproduce,繁殖する
1247,talkative,おしゃべりの
1248,earnest,真面目な
1249,diligent,勤勉な
1250,principal,主要な
1251,prime,最重要な
1252,definite,明確な
1253,evident,明らかな
1254,prominent,目立った
1255,marked,際立った
1256,grace,優美さ
1257,charm,魅力
1258,fancy,高級な
1259,rational,理性的な
1260,magnificent,壮大な
1261,superior,より優れている
1262,loyal,忠実な
1263,horrible,とてもひどい
1264,miserable,悲惨な
1265,dull,退屈な
1266,nasty,不快な
1267,insane,正気でない
1268,ridiculous,ばかげた
1269,rotten,腐った
1270,notorious,悪名高い
1271,evil,悪い
1272,mess,乱雑
1273,vast,広大な
1274,huge,巨大な
1275,tiny,とても小さな
1276,sphere,球体
1277,strip,細長い一片
1278,vessel,管
1279,internal,内部の
1280,mobile,流動的な
1281,steep,険しい
1282,intense,強烈な
1283,inevitable,避けられない
1284,neutral,中立の
1285,brief,手短な
1286,bare,むき出しの
1287,mutual,相互の
1288,potential,潜在的な
1289,tough,たくましい
1290,conventional,従来の
1291,supreme,最高の
1292,resemble,～に似ている
1293,contrary,それどころか
1294,category,範疇
1295,scope,範囲
1296,given,定められた
1297,peculiar,固有の
1298,sufficient,十分な
1299,numerous,多くの
1300,substantial,かなりの
1301,unit,単位
1302,diameter,直径
1303,arithmetic,算術
1304,quantity,量
1305,deficiency,欠乏
1306,maximum,最大限
1307,bunch,束
1308,lessen,～を減らす
1309,era,時代
1310,session,期間
1311,pause,休止
1312,annual,年に1度の
1313,eternal,永遠の
1314,initial,最初の
1315,prior,～より前の
1316,subsequent,続いて起こる
1317,meanwhile,その間
1318,routine,決まりきった仕事
1319,souvenir,土産
1320,brick,れんが
1321,pole,棒
1322,mischief,いたずら
1323,superstition,迷信
1324,storage,貯蔵
1325,shelter,避難（所)
1326,garment,衣類
1327,canal,運河
1328,cabinet,戸棚
1329,incident,出来事
