id,english,japanese
122,thank,に感謝する
123,welcome,を歓迎する
124,worry,心配する
125,say,言う
126,tell,話す
127,talk,話す
128,speak,話す
129,man,男
130,woman,女
131,child,子ども
132,friend,友人
133,beautiful,美しい
134,pretty,かわいい
135,cute,かわいい
136,think,思う
137,believe,信じる
138,know,知っている
139,understand,がわかる
140,like,を好む
141,want,したい
142,hope,したいと思う
143,need,を必要とする
144,long,を切望する
145,popular,人気のある
146,favorite,お気に入りの
147,clean,きれいな
148,easy,簡単な
149,TRUE,本当の
150,sure,確信して
151,early,早い
152,late,遅い
153,great,偉大な
154,meet,に会う
155,visit,を訪問する
156,invite,を招待する
157,heavy,重い
158,light,明るい
159,bright,明るい
160,dark,暗い
161,use,を使う
162,hold,を持つ
163,touch,触れる
164,push,押す
165,catch,をつかまえる
166,throw,投げる
167,brush,を磨く
168,shake,を振る
169,about,のあちこちに
170,about,について
171,around,のまわりを
172,around,のまわりに
173,before,の前に
174,after,のあとで
175,after,のあとに
176,by,のそばに
177,by,までに
178,by,によって
179,near,の近くに
180,beside,のそばに
181,over,の上に
182,over,を越えて
183,over,より多く
184,above,の上に
185,above,より上で
186,under,の下に
187,under,未満で
188,below,の下に
189,below,より下で
190,between,のあいだに
191,among,のあいだに
192,toward,のほうへ
193,and,そして
194,but,しかし
195,or,または
196,because,なぜなら〜だから
197,if,もしも〜ならば
198,buy,を買う
199,sell,を売る
200,spend,を費やす
201,waste,費やす
202,exchange,を交換する
203,own,を所有する
204,share,を分け合う
205,just,ちょうど
206,then,それから
207,ago,前に
208,last,最後の
209,later,あとで
210,once,一度
211,lie,横たわる
212,lay,を横たえる
213,rest,休む
214,sleep,眠る
215,wake,目を覚ます
216,sit,座る
217,tour,旅行
218,travel,旅行
219,trip,旅行
220,voyage,船旅
221,course,進路
222,flight,飛行
223,drive,運転する
224,ride,乗る
225,leave,去る
226,end,終わる
227,finish,を終える
228,stop,止まる
229,someone,だれか
230,anyone,だれか
231,something,何か
232,anything,何か
233,everyone,だれでも
234,everything,すべてのもの・こと
235,nobody,だれも〜ない
236,nothing,何も〜ない
237,none,だれも〜ない
238,garbage,ごみ
239,trash,ごみ
240,plastic,ビニール製の
241,care,気にする
242,please,を喜ばせる
243,trouble,を悩ます
244,excuse,を許す
245,pardon,を許す
246,health,健康
247,heart,心臓
248,tooth,歯
249,cancer,がん
250,hunger,飢え
251,thirsty,のどが渇いた
252,supper,夕食
253,east,東
254,west,西
255,south,南
256,north,北
257,outside,外側
258,inside,内側
259,wrong,間違った
260,strange,奇妙な
261,tired,疲れた
262,dangerous,危険な
263,terrible,恐ろしい
264,well,うまく
265,so,そのように
266,too,もまた
267,strongly,強く
268,often,よく
269,ask,尋ねる
270,train,を訓練する
271,show,を見せる
272,explain,説明する
273,mean,を意味する
274,practice,練習する
275,remember,覚えている
276,forget,忘れる
277,art,芸術
278,poem,詩
279,story,話
280,fiction,作り話
281,sound,音
282,sing,を歌う
283,country,国
284,public,公共の
285,person,人
286,host,主人
287,nurse,看護師
288,astronaut,宇宙飛行士
289,important,重要な
290,main,おもな
291,special,特別の
292,common,共通の
293,international,国際的な
294,foreign,外国の
295,native,生まれた土地
296,soon,すぐに
297,already,すでに
298,yet,まだ
299,still,まだ
300,suddenly,突然
301,can,できる
302,may,かもしれない
303,must,しなければならない
304,will,だろう
305,shall,しましょうか
306,would,したものだった
307,should,すべきである
308,matter,問題
309,problem,問題
310,purpose,目的
311,plan,計画
312,activity,活動
313,book,本
314,magazine,雑誌
315,telephone,電話
316,list,名簿
317,message,伝言
318,mail,郵便
319,call,電話をかける
320,letter,手紙
321,paper,紙
322,news,知らせ
323,program,番組
324,schedule,予定
325,against,に反対して
326,against,に寄り掛かって
327,against,を背景にして
328,during,のあいだずっと
329,during,のあいだに
330,behind,のうしろに
331,behind,に遅れて
332,until,まで
333,till,まで
334,through,を通り抜けて
335,through,のあいだずっと
336,into,の中に
337,all,全部
338,each,それぞれ
339,every,どの〜も
340,both,両方
341,either,どちらか一方
342,neither,どちらも〜ない
343,another,もうひとつの
344,other,もう一方
345,such,そのような
346,careful,注意深い
347,safe,安全な
348,kind,親切な
349,win,勝つ
350,lose,負ける
351,find,を見つける
352,miss,をしそこなう
353,save,を貯める
354,break,を壊す
355,business,仕事
356,job,仕事
357,office,事務所
358,factory,工場
359,machine,機械
360,coin,硬貨
361,come here,がやってきた
362,I’m coming,すぐ行くよ
363,come to do,するようになる
364,come from,の出身だ
365,come across,人に偶然出会う
366,come across,物を見つける
367,come out,明らかになる
368,come out of,から出てくる
369,come down,降りてくる
370,come in,入る
371,come along with,といっしょに行く
372,come up with,を思いつく
373,go bad,悪くなる
374,go -ing,して移動する
375,be gone,存在しない
376,go away,なくなる
377,to go,持ち帰り
378,go out,外へ出る
379,go back,戻る
380,go up,上がる
381,go down,降りる
382,go on -ing,し続ける
383,go off,鳴る
384,go through,を経験する
385,simple,単純な
386,difficult,難しい
387,free,自由な
388,soft,やわらかい
389,hard,難しい
390,rich,金持ちの
391,poor,貧しい
392,silent,沈黙した
393,quiet,静かな
394,wet,ぬれた
395,present,を贈る
396,collect,を集める
397,fish,魚
398,plant,植物
399,fruit,果物
400,wood,木
401,leaf,葉
402,flower,花
403,kindergarten,幼稚園
404,elementary school,小学校
405,junior high school,中学校
406,senior high school,高校
407,college,大学
408,university,大学
409,give a bath,を風呂に入れる
410,give a kiss,にキスする
411,give a cleaning,をきれいに掃除する
412,give a ride,を車で送る
413,give money to charity,慈善事業にお金を使う
414,give me a break,かんべんして
415,give up,やめる
416,give back,を返す
417,give in,降参する
418,give a call,に電話する
419,give a speech,スピーチをする
420,give birth to,を産む
421,get back,戻る
422,get to,に着く
423,get home,帰宅する
424,get sick,病気になる
425,get late,遅くなる
426,get married,結婚する
427,get cold,寒くなる
428,get up,起きる
429,get on / off,に乗る
430,get in / out of,に乗る
431,get away from,から逃げる
432,get along with,とうまくやる
433,grow,成長する
434,happen,起こる
435,appear,現れる
436,disappear,見えなくなる
437,continue,続ける
438,follow,ついていく
439,holiday,休日
440,fun,楽しみ
441,hobby,趣味
442,party,パーティー
443,movie,映画
444,camp,キャンプ
445,home,家庭
446,floor,床
447,roof,屋根
448,hall,廊下
449,step,歩み
450,stair,階段
451,yard,庭
452,place,場所
453,site,場所
454,corner,かど
455,block,ブロック
456,way,道
457,take a shower,シャワーを浴びる
458,take a break,休憩をとる
459,take a walk,散歩をする
460,take a picture,写真を撮る
461,take out,を連れ出す
462,take away,を運び去る
463,take off,を脱ぐ
464,take A for B,AをBだと思う
465,take care of,の世話をする
466,take part in,に参加する
467,take place,行われる
468,take a look at,を見る
469,have another drink,もう杯飲む
470,have a phone call,電話がかかってくる
471,have a seat,座る
472,have lunch,ランチを食べる
473,have a bath,風呂に入る
474,have a break,ひと休みする
475,have a cold,風邪をひく
476,have a good time,楽しい時を過ごす
477,have no idea,わからない
478,have something to do with,と関係がある
479,have nothing to do with,と何の関係もない
480,have only to do,しさえすればよい
481,village,村
482,neighbor,となりの人
483,address,住所
484,history,歴史
485,peace,平和
486,culture,文化
487,custom,慣習
488,move,動く
489,arrive,着く
490,pass,通る
491,cross,横切る
492,enter,入る
493,air,空気
494,land,土地
495,island,島
496,earth,地球
497,sun,太陽
498,planet,惑星
499,sentence,文
500,note,メモ
501,subject,学科
502,seem,見える
503,guess,を推測する
504,decide,を決める
505,keep a secret,秘密を守る
506,keep a diary,日記をつける
507,keep order,秩序を守る
508,keep in a safe place,を安全な場所にしまう
509,keep on -ing,し続ける
510,keep away from,に近づかない
511,keep from -ing,〜に〜させない
512,keep up,続く
513,keep up with,に遅れずについていく
514,keep in touch with,と連絡を保つ
515,keep in mind,を心に留めておく
516,keep an eye on,から目を離さない
517,make a suggestion,提案をする
518,make a change,変更を加える
519,be made to do,させられる
520,make it,うまくいく
521,make a mistake,間違いをする
522,make a noise,音を立てる
523,make a decision,決定する
524,make an effort,努力する
525,make sure of,を確かめる
526,make friends with,と親しくなる
527,make up one’s mind,決心する
528,make fun of,をからかう
529,store,店
530,hospital,病院
531,clothes,衣服
532,bath,入浴
533,comb,くし
534,film,映画
535,gift,贈り物
536,flag,旗
537,paint,ペンキ
538,since,して以来
539,while,するあいだに
540,though,だけれども
541,second,秒
542,hour,時間
543,century,世紀
544,out,外へ
545,off,離れて
546,away,離れて
547,far,遠くに
548,up,上の方に
549,down,下の方に
550,forward,前方に
551,straight,まっすぐに
552,abroad,外国に
553,only,ただ〜だけ
554,alone,ひとりで
555,also,もまた
556,else,そのほかに
557,even,でさえ
558,set,を置く
559,fix,を固定する
560,draw,描く
561,carry,を運ぶ
562,join,参加する
563,wait,待つ
564,celebrate,祝う
565,weather,天気
566,cloud,雲
567,rain,雨
568,snow,雪
569,fine,元気な
570,half,半分の
571,enough,十分な
572,more,もっと多く
573,most,大部分
574,someday,いつか
575,ever,これまでに
576,forever,永久に
577,classmate,同級生
578,lesson,授業
579,examination,試験
580,graduation,卒業
581,meal,食事
582,dessert,デザート
583,recipe,調理法
584,restaurant,レストラン
585,smell,のにおいがする
586,taste,な味がする
587,delicious,とてもおいしい
588,bitter,苦い
589,wide,幅が広い
590,deep,深い
591,slow,ゆっくりした
592,fast,速い
593,quick,はやい
594,act,行動する
595,perform,演じる
596,hurry,急ぐ
597,return,戻る
598,notice,気がつく
599,bear,を産む
600,slide,すべる
601,ceremony,儀式
602,contest,競技
603,prize,賞
604,role,役
605,size,大きさ
606,form,姿・形
607,type,型
608,style,様式
609,part,部分
610,point,点
611,line,線
612,hole,穴
613,airplane,飛行機
614,airport,空港
615,seat,座席
616,engine,エンジン
617,sail,帆
618,imagine,想像する
619,realize,に気づく
620,death,死
621,accident,事故
622,damage,損害
623,bomb,爆弾
624,pain,痛み
625,conversation,会話
626,interview,会見
627,discussion,討論
628,opinion,意見
629,advice,忠告
630,expression,表現
631,attention,注意
632,judge,判断する
633,check,点検する
634,include,を含む
635,solve,を解決する
636,report,報告する
637,communicate,意思を伝え合う
638,contact,に連絡する
639,impress,に感銘を与える
640,express,を表現する
641,appeal,訴える
642,whisper,ささやく
643,respond,答える
644,nod,うなずく
645,agree,に賛成する
646,support,を支える
647,trust,を信頼する
648,gather,集まる
649,alive,生きている
650,asleep,眠って
651,wild,野生の
652,calm,おだやかな
653,mild,おだやかな
654,mysterious,不思議な
655,sacred,神聖な
656,energy,エネルギー
657,skill,熟練
658,courage,勇気
659,chance,機会
660,goal,目標
661,build,を建てる
662,develop,を発達させる
663,improve,を改良する
664,rise,のぼる
665,raise,をあげる
666,climb,登る
667,increase,増える
668,drop,落ちる
669,sink,沈む
670,introduce,を紹介する
671,produce,を生産する
672,reduce,を減らす
673,government,政府
674,president,大統領
675,capital,首都
676,society,社会
677,war,戦争
678,rule,規則
679,population,人口
680,generation,世代
681,technology,技術
682,real,本当の
683,similar,似た
684,unique,独特の
685,pleasure,楽しみ
686,joy,喜び
687,interest,関心
688,pity,あわれみ
689,humor,ユーモア
690,dream,夢
691,secret,秘密
692,feeling,感覚
693,character,性格
694,voice,声
695,record,記録
696,noise,騒音
697,bring,物を持ってくる
698,bring to,を〜に連れていく
699,bring happiness,幸せをもたらす
700,bring wealth,富をもたらす
701,bring chaos,混乱をもたらす
702,bring in,に持ち込む
703,bring back,を返す
704,bring up,を育てる
705,bring about,を引き起こす
706,bring out,を出す
707,bring together,をまとめる
708,bring oneself to do,する気になる
709,put an arm around,腕を回す
710,put one’s name,名前を記入する
711,put in danger,を危険にさらす
712,put to use,を利用する
713,put in,に入れる
714,put on,を着る
715,put out,を消す
716,put off,を延期する
717,put up,を掲げる
718,put down,を下に置く
719,put back,を戻す
720,put away,を片づける
721,human,人間の
722,male,男性の
723,female,女性の
724,oneself,自分自身
725,hero,英雄
726,stranger,見知らぬ人
727,guest,客
728,passenger,乗客
729,chairperson,議長
730,audience,聴衆
731,relative,親せき
732,youth,青春時代
733,area,面積
734,stage,段階
735,space,空間
736,shelter,避難
737,environment,環境
738,continent,大陸
739,horizon,地平線
740,border,国境
741,distance,距離
742,view,眺め
743,scene,光景
744,case,場合
745,sign,記号
746,mark,跡
747,symbol,象徴
748,sample,見本
749,model,模型
750,feature,特徴
751,guide,案内人
752,source,源
753,fail,失敗する
754,suffer,苦しむ
755,injure,を傷つける
756,careless,不注意な
757,branch,枝
758,blossom,花
759,bloom,花
760,storm,嵐
761,earthquake,地震
762,ray,光線
763,shadow,影
764,shade,陰
765,temperature,温度
766,field,野原
767,desert,砂漠
768,atmosphere,大気
769,certainly,確かに
770,probably,おそらく
771,perhaps,たぶん
772,maybe,たぶん
773,especially,特に
774,actually,実際に
775,almost,ほとんど
776,hardly,ほとんど ない
777,able,できる
778,enable,可能にする
779,possible,可能な
780,impossible,不可能な
781,sick,病気の
782,ill,病気で
783,doctor,医者
784,meter,メートル
785,mile,マイル
786,ton,トン
787,percent,パーセント
788,dozen,ダース
789,pay,支払う
790,receive,を受け取る
791,lend,を貸す
792,borrow,を借りる
793,lucky,幸運な
794,famous,有名な
795,familiar,なじみの
796,fresh,新鮮な
797,clear,澄んだ
798,wise,賢い
799,knowledge,知識
800,fact,事実
801,truth,真実
802,reason,理由
803,meaning,意味
804,authority,権威
805,perfect,完ぺきな
806,precious,貴重な
807,convenient,便利な
808,professional,プロの
809,several,いくつかの
810,extra,余分の
811,whole,全体の
812,full,いっぱいの
813,empty,からの
814,equal,等しい
815,less,より少ない
816,least,もっとも少ない
817,mind,心
818,sense,感覚
819,mood,気分
820,fear,恐れ
821,memory,記憶
822,spirit,精神
823,ghost,幽霊
824,certain,確信して
825,aware,気づいて
826,angry,怒って
827,dead,死んだ
828,weak,弱い
829,unable,できない
830,unfair,不公平な
831,unknown,知られていない
832,unlike,と違って
833,boring,退屈な
834,bored,退屈して
835,exciting,わくわくさせるような
836,excited,興奮して
837,interesting,おもしろい
838,interested,興味をもって
839,surprising,驚くべき
840,surprised,驚いて
841,oil,石油
842,glass,ガラス
843,board,板
844,tube,管
845,shape,姿・形
846,pattern,模様
847,tradition,伝統
848,item,記事
849,congratulation,祝い
850,museum,博物館
851,statue,像
852,exhibition,展覧会
853,burn,燃える
854,burst,破裂する
855,shine,輝く
856,blow,吹く
857,spread,広がる
858,separate,を引き離す
859,divide,を分ける
860,choose,選ぶ
861,prefer,のほうを好む
862,hate,をひどく嫌う
863,compare,と比較する
864,distinguish,を区別する
865,hire,を雇う
866,order,命令する
867,deliver,を配達する
868,leader,指導者
869,engineer,技師
870,clerk,事務員
871,actor,俳優
872,indeed,実に
873,exactly,ちょうど
874,quite,まったく
875,nearly,ほとんど
876,rather,かなり
877,pick,をつみ取る
878,pull,引く
879,ring,鳴る
880,lean,傾く
881,dig,を掘る
882,fill,を満たす
883,swing,を振る
884,rub,をこする
885,adventure,冒険
886,event,できごと
887,invent,を発明する
888,prevent,をさまたげる
889,look for,を探す
890,look after,の世話をする
891,look around,見回す
892,look like,に似ている
893,look up,を調べる
894,look up to,を尊敬する
895,write to,に手紙を書く
896,write down,を書き留める
897,grow up,成長する
898,cut down,を切り倒す
899,go to bed,寝る
900,wake up,目を覚ます
901,be good at,がじょうずである
902,be late for,に遅れる
903,be fond of,が好きである
904,be afraid of,を恐れる
905,be short of,が不足している
906,be proud of,を誇りにしている
907,be familiar with,に詳しい
908,be familiar to,によく知られている
909,be pleased with,に満足している
910,be filled with,で満ちている
911,be based on,に基づいている
912,be lost,道に迷っている
913,break up,ばらばらにする
914,break out,起こる
915,break down,を壊す
916,break into,に押し入る
917,cheer up,元気を出す
918,do one’s best,最善をつくす
919,do without,なしですます
920,at first,最初は
921,at last,ついに
922,first of all,まず第一に
923,for the first time,初めて
924,in the end,ついに
925,in time,間に合って
926,on time,時間どおりに
927,right away,すぐに
928,at once,すぐに
929,in a minute,すぐに
930,at the same time,同時に
931,so far,今までのところ
932,by now,今ごろは
933,after a while,しばらくして
934,at the age of,歳のときに
935,be made from,から作られる
936,be made of,でできている
937,depend on,に頼る
938,find out,知る
939,figure out,を理解する
940,carry out,を実行する
941,run out of,を使い切る
942,run away,逃げる
943,be known to,に知られている
944,be known as,として知られている
945,less than,より少なく
946,more than,より多く
947,more and more,ますます多くの
948,as many as,も
949,a lot of / lots of,たくさんの
950,a few,少しはある
951,a little,少しはある
952,quite a few,かなりたくさんの
953,quite a little,かなりたくさんの
954,plenty of,たくさんの
955,a number of,いくつかの
956,a large number of,多数の
957,a small number of,わずかな
958,hundreds of,何百もの
959,most of,の大部分
960,full of,でいっぱいの
961,add,を加える
962,create,を創作する
963,design,を設計する
964,print,印刷する
965,complete,を完成する
966,recycle,を再生利用する
967,breed,を飼育する
968,influence,に影響を与える
969,wrap,を包む
970,cover,をおおう
971,decorate,を飾る
972,pack,荷作りする
973,discover,を発見する
974,recover,回復する
975,single,ただひとつの
976,twice,2度
977,double,2重の
978,quarter,4分の
979,bit,かけら
980,piece,ひとつ
981,pair,組
982,couple,対
983,million,00万
984,billion,0億
985,anger,怒り
986,emotion,感情
987,passion,情熱
988,favor,好意
989,blood,血
990,breath,呼吸
991,wound,を傷つける
992,disease,病気
993,headache,頭痛
994,medicine,薬
995,cure,治療
996,mental,精神の
997,physical,肉体の
998,athlete,運動選手
999,vision,視力
1000,correct,正しい
1001,mistake,間違い
1002,FALSE,いつわりの
1003,personality,個性
1004,habit,習慣
1005,private,個人的な
1006,personal,個人の
1007,individual,個々の
1008,background,生い立ち
1009,condition,状態
1010,degree,度
1011,scale,体重計
1012,speed,速さ
1013,term,学期
1014,score,得点
1015,difference,違い
1016,imagination,想像
1017,attack,攻撃する
1018,hit,打つ
1019,beat,たたく
1020,bite,かむ
1021,hunt,狩る
1022,fight,戦う
1023,shoot,撃つ
1024,hurt,を傷つける
1025,kill,を殺す
1026,destroy,を破壊する
1027,effort,努力
1028,experience,経験
1029,success,成功
1030,result,結果
1031,prepare,準備をする
1032,reach,に到着する
1033,quit,やめる
1034,swallow,を飲み込む
1035,roll,転がる
1036,hang,を掛ける
1037,search,さがす
1038,sigh,ため息をつく
1039,honest,正直な
1040,gentle,優しい
1041,brave,勇敢な
1042,nervous,神経質な
1043,sensitive,敏感な
1044,stupid,愚かな
1045,basic,基本的な
1046,necessary,必要な
1047,usual,いつもの
1048,ordinary,ふつうの
1049,daily,毎日の
1050,typical,典型的な
1051,domestic,国内の
1052,universal,世界共通の
1053,fundamental,基本的な
1054,lead,導く
1055,conduct,指揮する
1056,control,を支配する
1057,offer,を申し出る
1058,dive,飛び込む
1059,greet,にあいさつをする
1060,cheer,歓声を上げる
1061,praise,をほめる
1062,respect,を尊敬する
1063,forgive,許す
1064,convince,に納得させる
1065,absorb,を吸い込む
1066,depend,しだいである
1067,independent,独立した
1068,expensive,高価な
1069,joke,冗談
1070,mystery,なぞ
1071,trick,いたずら
1072,clue,手がかり
1073,newspaper,新聞
1074,envelope,封筒
1075,label,ラベル
1076,title,題名
1077,topic,話題
1078,information,情報
1079,copy,複写・コピー
1080,price,値段
1081,value,価値
1082,cost,費用
1083,company,会社
1084,sale,販売
1085,trade,貿易
1086,cheap,安い
1087,belong,所属している
1088,mix,を混ぜる
1089,marry,結婚する
1090,assist,補助する
1091,exist,存在する
1092,insist,主張する
1093,nature,自然
1094,grass,草
1095,ocean,海
1096,wave,波
1097,coast,沿岸
1098,cave,洞くつ
1099,sand,砂
1100,mud,どろ
1101,birth,誕生
1102,origin,起源
1103,root,根
1104,original,最初の
1105,raw,生の
1106,bare,裸の
1107,wind,風
1108,wind,を巻く
1109,minute,分
1110,minute,きわめて小さい
1111,tear,涙
1112,tear,を破る
1113,close,を閉める
1114,close,近い
1115,escape,逃げる
1116,hide,隠れる
1117,protect,を守る
1118,preserve,を保存する
1119,maintain,を維持する
1120,protest,抗議する
1121,breathe,息をする
1122,survive,生き残る
1123,rescue,を救う
1124,aid,援助
1125,guard,警備員
1126,whenever,するときはいつでも
1127,wherever,するところならどこでも
1128,however,しかしながら
1129,center,中心
1130,middle,中央
1131,bottom,底
1132,somewhere,どこかで
1133,anywhere,どこかに
1134,nowhere,どこにもない
1135,surprise,を驚かせる
1136,embarrass,に恥ずかしい思いをさせる
1137,wonder,不思議に思う
1138,relax,くつろぐ
1139,satisfy,を満足させる
1140,cause,を引き起こす
1141,affect,に影響する
1142,react,反応する
1143,lonely,孤独な
1144,responsible,責任のある
1145,thick,厚い
1146,fat,太った
1147,thin,薄い
1148,height,高さ
1149,weight,重さ
1150,central,中心の
1151,ahead,前方に
1152,further,それ以上の
1153,former,前の
1154,latter,あとの
1155,previous,前の
1156,following,以下の
1157,treat,を扱う
1158,recognize,がわかる
1159,confirm,を確認する
1160,appreciate,に感謝する
1161,accept,を受け入れる
1162,allow,を許す
1163,nation,国
1164,state,州
1165,community,地域社会
1166,law,法律
1167,policy,政策
1168,police,警察
1169,civilization,文明
1170,system,制度
1171,god,神
1172,heaven,天国
1173,sight,光景
1174,moment,瞬間
1175,race,競争
1176,match,試合
1177,quarrel,口論
1178,enemy,敵
1179,strength,力
1180,creature,生き物
1181,insect,昆虫
1182,brain,脳
1183,fur,毛皮
1184,tail,しっぽ
1185,pleasant,楽しい
1186,delightful,ゆかいにさせる
1187,comfortable,快適な
1188,smart,頭のよい
1189,polite,礼儀正しい
1190,excellent,優れた
1191,ideal,理想的な
1192,fit,適した
1193,proper,適切な
1194,helpful,役に立つ
1195,worth,の価値がある
1196,stare,じっと見つめる
1197,pronounce,を発音する
1198,scream,悲鳴をあげる
1199,elder,年上の
1200,elderly,年配の
1201,senior,年上の
1202,junior,年下の
1203,past,過去の
1204,modern,現代の
1205,latest,最新の
1206,ability,能力
1207,capacity,収容力
1208,quality,質
1209,technique,技術
1210,craft,手芸・工芸
1211,charm,魅力
1212,confidence,信頼
1213,heat,熱
1214,fire,火
1215,power,力
1216,solar,太陽の
1217,used,中古の
1218,patient,がまん強い
1219,shy,恥ずかしがりの
1220,blind,目の見えない
1221,funny,おかしい
1222,serious,重大な
1223,attend,に出席する
1224,extend,伸びる
1225,intend,するつもりである
1226,pretend,するふりをする
1227,motivate,に動機を与える
1228,organize,を組織する
1229,establish,を設立する
1230,operate,を操作する
1231,master,を習得する
1232,serve,出す
1233,aim,目的
1234,capture,を捕まえる
1235,recall,を思い出す
1236,reflect,反射する
1237,count,数える
1238,mend,を修繕する
1239,repair,を修理する
1240,handle,を処理する
1241,turn around,向きを変える
1242,turn on,をつける
1243,turn off,を消す
1244,turn down,を下げる
1245,turn out,であるとわかる
1246,turn into,に変わる
1247,talk to oneself,ひとり言を言う
1248,say to oneself,と心の中で思う
1249,say hello to,によろしくと言う
1250,hear from,から便りをもらう
1251,hear of,のことを耳にする
1252,belong to,に所属している
1253,change into,に変わる
1254,change one’s mind,考えを変える
1255,be going to do,するつもりである
1256,have to do,しなければならない
1257,had better do,したほうがよい
1258,ought to do,すべきである
1259,be supposed to do,することになっている
1260,used to do,よく〜したものだ
1261,be used to,に慣れている
1262,be likely to do,しそうである
1263,be willing to do,快く〜する
1264,be ready to do,する用意ができている
1265,call up,電話をかける
1266,call at,に立ち寄る
1267,call on,を訪問する
1268,call for,を大声を出して求める
1269,hurry up,急ぐ
1270,fail to do,しそこなう
1271,watch out,注意する
1272,stand for,を表す
1273,throw away,を捨てる
1274,hold on,電話を切らないで待つ
1275,hang up,電話を切る
1276,call back,あとで電話をかけなおす
1277,try on,を試着する
1278,pass by,そばを通り過ぎる
1279,fill in,を書き込む
1280,shake hands with,と握手をする
1281,leave alone,をそのままにしておく
1282,tend to do,する傾向がある
1283,all of a sudden,突然
1284,at present,現在は
1285,once upon a time,昔々
1286,in the future,将来に
1287,from time to time,ときどき
1288,one after another,次々と
1289,little by little,少しずつ
1290,as a result,その結果
1291,as for,について言えば
1292,of course,もちろん
1293,by the way,ところで
1294,in fact,実際は
1295,for example,たとえば
1296,and so on,など
1297,huge,巨大な
1298,tiny,ごく小さな
1299,major,大きな
1300,minor,小さな
1301,dry,乾いた
1302,dirty,汚い
1303,loud,大きい
1304,tough,困難な
1305,knock,ノックする
1306,shut,を閉める
1307,lift,を持ち上げる
1308,press,押す
1309,fold,を折りたたむ
1310,stretch,を伸ばす
1311,total,全体の
1312,amount,総計
1313,quantity,量
1314,mass,大きなかたまり
1315,pile,を積み重ねる
1316,lack,不足
1317,per,につき
1318,leisure,余暇
1319,fashion,流行
1320,photo,写真
1321,smoke,煙
1322,gas,気体
1323,ash,灰
1324,dust,ほこり
1325,sharp,鋭い
1326,tight,きつい
1327,obvious,明らかな
1328,plain,明らかな
1329,brief,短時間の
1330,dull,にぶい
1331,lazy,なまけ者の
1332,silly,愚かな
1333,foolish,愚かな
1334,rude,失礼な
1335,ugly,みにくい
1336,pale,青白い
1337,horrible,恐ろしい
1338,awful,ひどい
1339,agriculture,農業
1340,soil,土
1341,crop,農作物
1342,grain,穀物
1343,greenhouse,温室
1344,occasion,時
1345,opportunity,機会
1346,circumstance,状況
1347,situation,状況
1348,represent,を表す
1349,display,を示す
1350,indicate,を示す
1351,prove,を証明する
1352,reveal,を明らかにする
1353,instant,即座の
1354,primitive,原始の
1355,ancient,古代の
1356,final,最終の
1357,annual,毎年の
1358,lately,近ごろ
1359,recently,最近
1360,immediately,ただちに
1361,permanently,永久に
1362,afterward,あとで
1363,scold,しかる
1364,punish,を罰する
1365,criticize,を批判する
1366,complain,不平・不満を言う
1367,general,全体的な
1368,normal,標準の
1369,regular,規則的な
1370,rare,まれな
1371,local,地元の
1372,global,世界的な
1373,whether,かどうか
1374,unless,でない限り
1375,except,を除いて
1376,besides,のほかに
1377,beyond,の向こうに
1378,within,以内に
1379,throughout,のあいだずっと
1380,despite,にもかかわらず
1381,industry,産業
1382,market,市場
