id,english,japanese
184,several,いくつかの
185,short,短い
186,brief,短時間の
187,easily,簡単に
188,mix,を混ぜ(て作)る
189,chemical,化学の
190,way,方法
191,manner,方法
192,method,方法
193,dish,皿
194,bad,悪い
195,effect,影響
196,effective,効果的な
197,efficient,効率的な
198,health,健康(状態)
199,scientist,科学者
200,science,科学
201,amount,量
202,quantity,量
203,quality,質
204,volume,量
205,sum,合計
206,surprisingly,驚くほど(に)
207,product,製品
208,throw,投げる
209,environment,(自然)環境
210,circumstance,《通例-s》状況
211,attitude,態度，姿勢
212,eco-friendly,環境にやさしい
213,ecology,生態(学)
214,friendly,親しみのある
215,earth,地球
216,earthquake,地震
217,disaster,(大)災害
218,flood,洪水
219,future,未来
220,ambitious,意欲のある
221,confident,自信のある
222,courage,勇気
223,discourage,を落胆させる
224,eager,熱心な
225,brave,勇敢な
226,hesitate,ためらう
227,aggressive,攻撃的な
228,positive,よい
229,negative,悪い
230,optimistic,楽観的な
231,pessimistic,悲観的な
232,as,～として
233,religious,宗教(上)の
234,century,世紀
235,decade,10年間
236,exact,正確な
237,correct,正しい
238,precise,正確な
239,meet,(に)会う
240,face,顔(つき)
241,greet,にあいさつをする
242,introduce,を導入する
243,church,教会
244,temple,寺院
245,pray,祈る
246,accurate,正確な
247,minute,分
248,complicated,複雑な
249,complex,複雑な
250,part,部分
251,figure,数字
252,quarter,4分の1
253,inside,の中に
254,traditional,伝統的な
255,digital,数字の
256,hand,手
257,number,数
258,population,人口
259,display,展示(品)
260,exhibit,を展示する
261,least,最小
262,zone,地帯
263,alarm,おそれ
264,even,…(で)さえ
265,count,を数える/重要である
266,depend,《～に》頼る
267,independent,《～から》自立した
268,rely,頼る《on》
269,beat,打つこと
270,hit,たたく
271,strike,(物が)にぶつかる
272,touch,に触れる
273,jog,ジョギング(をする)
274,tell,を話す
275,mention,に言及する
276,refer,～に言及する
277,finish,を終える
278,place,場所／を置く
279,differently,異なって
280,culture,文化
281,important,重要な
282,significant,重要な
283,substantial,実在する
284,plan,計画
285,follow,あとについて行く
286,obey,に従う
287,closely,親密に
288,certain,確かな
289,vague,あいまいな
290,inevitable,避けられない
291,assure,(人)に保証する
292,rude,無礼な
293,late,遅く／遅れた
294,relax,をくつろがせる
295,comfortable,快適な
296,relieve,を取り除く
297,schedule,予定表／を予定する
298,project,を計画する
299,arrangement,手配
300,delay,遅延
301,postpone,を延期する
302,chase,追跡(する)
303,explore,探求する
304,pursue,を追跡する
305,seek,を探し求める
306,luck,幸運
307,ladder,はしご
308,unlucky,不運な
309,unfortunately,不幸にも
310,indoors,屋内で
311,prove,を証明する
312,superstitious,迷信的な
313,world,世界
314,million,100万の／100万
315,billion,10億
316,dozen,ダース[12個]
317,superstition,迷信
318,believe,信じる
319,trust,信頼
320,faith,信頼
321,suspect,だと思う
322,doubt,疑い／疑う
323,abroad,外国へ
324,overseas,海外の
325,international,国際的な
326,nation,国家
327,national,国家の
328,worldwide,世界中で
329,global,世界的な
330,lucky,幸運な
331,fortunate,幸運な
332,often,しばしば
333,think,〜と思う
334,guess,を推測する
335,suppose,と考える
336,assume,と思い込む
337,imagine,想像する
338,pronounce,を発音する
339,death,死(亡)
340,bury,を埋める
341,give,Aを与える
342,dedicate,をささげる
343,devote,をささげる
344,donate,寄付する
345,contribute,～に貢献する
346,gift,贈り物
347,frequently,頻繁に
348,constantly,絶えず
349,regularly,定期的に
350,hardly,ほとんど…ない
351,rarely,めったに…ない
352,seldom,めったに…ない
353,barely,かろうじて
354,consider,AをBとみなす
355,considerable,かなりの
356,regard,AをBとみなす
357,assess,を評価する
358,evaluate,を評価する
359,estimate,を見積もる
360,business,商売
361,couple,カップル
362,past,過去の
363,kind,種類
364,sneeze,くしゃみをする
365,holiday,休日
366,commerce,商業
367,industry,産業
368,trade,取引する
369,import,輸入／を輸入する
370,export,輸出／を輸出する
371,stock,株式
372,invest,投資する
373,capital,資本(金)
374,budget,予算
375,credit,信用
376,contract,を契約する
377,advertisement,広告
378,spill,をこぼす
379,however,しかし
380,reverse,を逆にする
381,turn,回転する
382,backward,後ろへ
383,forward,前に
384,back,後ろへ
385,return,戻る／を戻す
386,unite,一体にする
387,wear,を身につけている
388,team,チーム
389,crowd,群衆
390,staff,職員
391,lose,を失う／負ける
392,silly,愚かな
393,foolish,愚かな
394,fool,愚か者
395,stupid,ばかな
396,ridiculous,ばかげた
397,mind,精神
398,win,勝つ
399,defeat,失敗
400,victory,勝利
401,contradictory,矛盾している
402,exactly,ちょうど
403,precisely,正確に
404,definitely,明確に
405,opposite,反対の
406,mean,を意味する
407,meaning,意味
408,clothes,衣服
409,accident,事故
410,last,最後の
411,initial,初めの／頭文字
412,plate,皿
413,fashion,流行
414,formal,形式の
415,informal,形式ばらない
416,casual,ふだん着の
417,custom,慣習
418,habit,習慣
419,feel,…の感じがする
420,polite,礼儀正しい
421,decent,きちんとした
422,bless,恵まれている
423,soul,魂
424,spirit,精神
425,body,体
426,protect,を保護する
427,conserve,を保護する
428,guard,を守る
429,preserve,を保存する
430,danger,危険
431,endangered,絶滅の危機に瀕した
432,risk,危険
433,crisis,危機
434,anyway,とにかく
435,brain,脳
436,organ,器官
437,breath,息
438,stomach,胃
439,thumb,親指
440,probably,おそらく
441,maybe,おそらく
442,intentionally,意図的に
443,intend,〜するつもりだ
444,deliberately,故意に
445,almost,ほとんど
446,bath,入浴
447,use,〜を使う
448,borrow,を借りる
449,lend,BにAを貸す
450,rent,を賃貸する
451,owe,に借金がある
452,debt,借金
453,marriage,結婚
454,end,最後
455,tail,しっぽ
456,retire,退職する
457,quit,をやめる
458,graduate,卒業する
459,cease,やむ，終わる
460,chance,見込み
461,sure,確信して
462,story,物語
463,legend,伝説
464,war,戦争
465,light,光
466,shine,輝く
467,dark,暗い／暗やみ
468,army,軍隊
469,military,軍隊の
470,weapon,武器
471,sign,標識
472,mark,記号
473,heaven,天国
474,wood,木材
475,cover,を覆う
476,hide,を隠す
477,silk,絹
478,later,あとで
479,learn,学ぶ
480,master,主人
481,paper,紙
482,sheet,1枚の紙
483,document,を記録する
484,vegetable,野菜
485,battle,戦闘
486,fight,けんか
487,attack,攻撃
488,shoot,撃つ
489,conflict,闘争
490,defend,守る
491,invade,に侵入する
492,purpose,目的
493,tie,を結ぶ／結べる
494,hang,をつるす
495,fly,飛ぶ
496,musical,音楽の
497,enemy,敵(軍)
498,run,走る
499,sound,音／～に思われる
500,warning,警告
501,attention,注意
502,care,世話
503,careful,注意深い
504,carefully,注意深く
505,caution,用心
506,angel,天使
507,fun,楽しみ
508,shape,形
509,form,形(態)
510,animal,動物
511,remember,を覚えている
512,memorize,記憶する
513,memory,記憶(力)
514,remind,〜を思い出させる
515,forget,〜を忘れる
516,event,出来事
517,lightning,稲光，稲妻
518,electricity,電気
519,history,歴史(学)
520,continue,を続ける
521,creature,生き物
522,species,種(類)
523,mammal,哺乳動物
524,ceremony,(儀)式
525,celebrate,祝う
526,insect,昆虫
527,scent,香り，におい
528,fresh,新鮮な
529,weak,弱い
530,subtle,微妙な
531,delicate,繊細な
532,confuse,を当惑させる
533,embarrass,を当惑させる
534,pollutant,汚染物質
535,meal,食事
536,indeed,実際は
537,show,を示す
538,reveal,を明らかにする
539,expose,を露出する
540,indicate,を示唆する
541,case,場合
542,occasion,機会
543,affair,問題
544,effort,努力
545,plant,植物
546,male,男性の
547,female,女性の
548,reason,理由
549,cause,を引き起こす
550,logic,論理(学)
551,decrease,減少する
552,reduce,を減らす
553,diminish,減少する
554,lessen,を減らす／減る
555,fall,落ちる
556,drop,を落とす
557,carrier,運送業者
558,career,職業
559,live,住む
560,survive,生き残る
561,group,グループ
562,category,範疇
563,classify,を分類する
564,possible,可能な
565,impossible,不可能な
566,role,役割
567,weaken,を弱める
568,destroy,を破壊する
569,ruin,を破滅させる
570,spoil,を台なしにする
571,smell,のにおいをかぐ
572,search,を探す
573,leave,去る
574,depart,出発する
575,hunt,狩る
576,organization,組織(化)
577,association,連想
578,council,議会
579,union,連合
580,agency,代理(店)
581,unit,1個
582,examine,を調べる
583,investigate,を調査する
584,affect,に影響する
585,model,模型
586,response,反応
587,various,多様な
588,air,空気
589,data,情報
590,emit,を出す
591,gas,気体
592,freeze,凍る
593,melt,溶ける
594,pleasant,心地よい
595,please,を喜ばせる
596,satisfy,を満たす
597,content,中身
598,molecule,分子
599,density,密度
600,dense,密集した
601,strong,強い
602,intense,強烈な
603,focus,集中する
604,normally,標準的に
605,normal,標準の
606,spend,を費やす
607,waste,浪費する／浪費
608,clean,清潔な
609,dirty,汚い
610,main,主要な
611,city,都市
612,citizen,市民
613,mayor,市長
614,urban,都市の
615,suburb,郊外
616,happen,起こる
617,occur,起こる
618,phenomenon,現象
619,create,を創造する
620,creative,創造力のある
621,invent,を発明する
622,generate,を生み出す
623,compose,を構成する
624,certainly,確かに
625,next,次の
626,neighbor,近所の人
627,deal,を扱う
628,cope,をうまく処理する
629,treat,を扱う
630,handle,取っ手
631,evolve,発展する
632,evolution,進化(論)
633,innovation,革新
634,detect,を検出する
635,experience,経験／を経験する
636,suffer,苦しむ
637,area,地域
638,state,状態
639,statement,陳述
640,declare,を明言する
641,condition,状況
642,situation,立場
643,position,立場
644,fact,事実
645,problem,問題
646,trouble,困ること
647,although,…にもかかわらず
648,ocean,大洋
649,taste,味がする
650,float,浮く
651,stand,立っている
652,bear,に耐える
653,endure,に耐える
654,bottom,底
655,heavy,重い
656,hold,を持っている
657,poverty,貧困
658,bully,をいじめる
659,abuse,乱用
660,discrimination,差別
661,prejudice,偏見
662,continent,大陸
663,horizon,地平線
664,mistake,誤り，間違い
665,error,誤り
666,fault,誤り
667,expect,を予期する
668,anticipate,を予想する
669,predict,を予言する
670,forecast,予報，予想
671,pain,痛み
672,prepare,の準備をする
673,ready,準備ができた
674,terrible,恐ろしい
675,awful,恐ろしい
676,horrible,恐ろしい
677,cruel,残酷な
678,frighten,を怖がらせる
679,painful,痛い
680,keep,を保つ
681,maintain,を主張する
682,sustain,を持続させる
683,understand,理解する
684,link,関連／をつなぐ
685,actually,実は
686,TRUE,本当の
687,usually,たいてい
688,agree,同意する
689,disagree,意見が異なる
690,accept,を受け入れる
691,approve,～に賛成する
692,admit,～を認める
693,exciting,わくわくさせる
694,question,質問
695,mood,気分
696,atmosphere,雰囲気
697,psychologist,心理学者
698,psychology,心理(学)
699,research,研究
700,topic,話題
701,experiment,実験(する)
702,connect,～をつなぐ
703,contact,接触
704,relate,を関連づける
705,machine,機械
706,check,を調べる
707,confirm,を立証する
708,temperature,温度
709,muscle,筋肉
710,activity,活動
711,while,…する間に
712,watch,を見る
713,observe,を観察する
714,interesting,おもしろい
715,funny,おもしろい
716,indifferent,無関心な
717,attractive,魅力的な
718,curious,好奇心の強い
719,appeal,懇願する
720,fascinate,を魅了する
721,tend,傾向がある
722,inclined,…したいと思って
723,feeling,感情
724,emotion,感情
725,sense,感覚
726,moment,時
727,instant,即刻の／瞬間
728,angry,怒った
729,mad,怒っている
730,crazy,正気でない
731,instead,その代わりに
732,delight,大きな喜び
733,sympathy,思いやり
734,pity,哀れみ
735,sorrow,悲しみ
736,depress,を落胆させる
737,regret,後悔
738,despair,絶望する
739,lonely,孤独の
740,frustrate,をいらいらさせる
741,ashamed,《～を》恥じて
742,likely,…しそうで
743,romantic,情熱的な
744,warm,暖かい
745,harmony,調和
746,uneasy,不安な
747,combination,組み合わせ
748,characteristic,特徴
749,impression,印象
750,image,像
751,listener,聞き手
752,fearful,恐れて
753,mainly,主として
754,note,メモ
755,bill,請求書
756,currency,通貨
757,slow,遅い
758,soft,柔らかい
759,mild,穏やかな
760,fill,を満たす
761,instrument,器具
762,increase,を増やす
763,knowledge,知識
764,work,働く
765,suit,に好都合である
766,fit,合う
767,match,と調和する
768,adjust,を調節する
769,adapt,《～に》適応する
770,adopt,を採用する
771,apply,申し込む
772,scene,場面
773,tool,道具
774,device,装置
775,equipment,装備
776,furniture,家具
777,material,資料
778,unbelievable,驚くような
779,incredible,すばらしい
780,idea,考え
781,smart,頭のよい
782,wise,賢い
783,intelligent,知能の高い
784,bright,明るい
785,popular,人気のある
786,grade,程度
787,degree,(温度などの)度
788,university,大学
789,thought,考え
790,notion,考え
791,concept,概念
792,policy,政策
793,principle,主義
794,abstract,抽象的な
795,concrete,具体的な
796,education,教育
797,lecture,講義
798,professor,教授
799,classical,古典の
800,especially,特に
801,test,検査
802,silence,沈黙
803,advice,忠告
804,score,得点
805,average,平均／平均的な
806,whole,全体の
807,summary,要約
808,detail,細部
809,now,今
810,immediately,即座に
811,major,主要な
812,minor,それほど重要でない
813,key,かぎ
814,simply,ただ単に
815,since,…して以来
816,performance,遂行
817,able,可能な
818,ability,能力
819,unable,できない
820,available,手に入る
821,afford,～をする余裕がある
822,capacity,能力
823,talent,才能
824,potential,潜在的な
825,instinct,本能
826,skill,技術
827,technique,技術
828,technology,科学技術
829,editor,編集者
830,magazine,雑誌
831,extreme,極端
832,provide,を供給する
833,supply,を供給する
834,reader,読者，読む人
835,statistics,統計(学)
836,journalist,ジャーナリスト
837,instruct,に教える
838,command,命令
839,order,に命令する
840,well-known,よく知られている
841,article,記事
842,president,大統領
843,palace,宮殿
844,republic,共和国
845,arrive,着く
846,reach,に着く
847,approach,近づく
848,access,接近，出入り
849,sentence,文
850,refuse,を拒絶する
851,decline,減少する
852,deny,を否定する
853,reject,を拒絶する
854,publish,を出版する
855,surround,を囲む
856,height,高さ
857,length,長さ
858,depth,深さ
859,width,幅
860,measure,を測る
861,obtain,を入手する
862,acquire,を習得する
863,gain,を手に入れる
864,earn,を得る
865,meanwhile,その間に
866,impatient,いらいらしている
867,patient,患者／忍耐強い
868,press,押すこと
869,urgent,緊急の
870,receive,を受け取る
871,reply,《～に》答える
872,inform,に知らせる
873,announce,を発表する
874,fire,を解雇する
875,fail,に落ちる
876,reluctantly,いやいやながら
877,reluctant,気の進まない
878,originally,元来は
879,poor,貧しい
880,arrest,を逮捕する
881,prison,刑務所
882,allow,を許す
883,forgive,を許す
884,excuse,を許す／言い訳
885,permit,を許す
886,license,を認可する
887,step,歩み
888,stage,段階
889,process,過程
890,lead,通じる／を導く
891,direct,を向ける
892,guide,案内する
893,control,を支配する
894,operate,を操作する
895,persuade,を説得する
896,convince,を確信させる
897,dominate,支配する
898,wall,壁
899,broad,広範囲に及ぶ
900,wide,幅の広い
901,narrow,狭い
902,deep,深い／深く
903,shallow,浅い
904,extend,を延長する
905,expand,を拡大する
906,extent,程度
907,nap,昼寝／昼寝をする
908,grow,を栽培する
909,raise,を育てる
910,rear,を育てる
911,feed,〜を養う
912,adult,大人
913,executive,経営幹部
914,government,政府
915,middle,中央(の)
916,center,中心
917,political,政治の
918,economic,経済(学)の
919,financial,財政の
920,expert,専門家
921,productivity,生産性
922,religion,宗教
923,tradition,伝統
924,still,まだ
925,task,課題
926,duty,義務
927,responsibility,責任
928,assignment,任務
929,essential,不可欠の
930,crucial,決定的な
931,fundamental,基本的な
932,attend,に出席する
933,matter,問題
934,like,を好む
935,office,事務所
936,empty,空の
937,clear,明白な
938,evident,明白な
939,obvious,明白な
940,plain,明白な
941,pure,純粋な
942,remove,を取り除く
943,foreigner,外国人
944,enter,に入る
945,own,自分自身の
946,possess,を所有している
947,belong,所属している
948,property,財産
949,rhythm,リズム
950,recall,を思い出す
951,somewhere,どこかで
952,extremely,非常に
953,outside,の外に
954,heat,熱
955,wave,波／を振る
956,ghost,幽霊
957,unlike,と異なって
958,action,行動
959,except,〜を除いて
960,full,いっぱいの
961,hungry,空腹の
962,complete,完全な
963,absolute,完全な
964,thorough,徹底的な
965,accomplish,を成し遂げる
966,achieve,を成し遂げる
967,fulfill,を満たす
968,call,Aを(Bと)呼ぶ
969,family,家族
971,relative,親戚／相対的な
972,ancestor,先祖
973,healthy,健康な
974,conventional,従来の
975,apparently,見たところでは
976,natural,自然の
977,researcher,研究者
978,tune,調和
979,biological,生物の
980,study,勉強
981,suggest,をそれとなく言う
982,imply,を意味する
983,propose,を提案する
984,offer,を提供する
985,recommend,を推薦する
986,require,を必要とする
987,request,依頼する
988,period,期間
989,term,言葉
990,block,かたまり
991,sleepy,眠い
992,mathematics,数学
993,chemistry,化学
994,physics,物理学
995,economics,経済学
996,philosophy,哲学
997,include,を含む
998,exclude,を除外する
999,involve,を関連させる
1000,director,監督
1001,biology,生物学
1002,institute,(工科)大学
1003,tired,疲れた
1004,secondary,第2の
1005,peak,最高潮
1006,concentration,集中(力)
1007,difficulty,困難
1008,remain,…のままである
1009,rest,残り
1010,awake,目覚めて
1011,sort,種類
1012,difficult,難しい
1013,need,を必要とする
1014,necessary,必要な
1015,ahead,前方へ
1016,previous,前の
1017,component,構成要素
1018,lifestyle,生活様式
1019,shift,を変える
1020,join,に参加する
1021,participate,参加する
1022,drink,飲む
1023,laugh,《～を》笑う
1024,origin,起源
1025,resource,資源
1026,lie,横たわっている
1027,cheat,をだます
1028,deceive,をだます
1029,climate,気候
1030,architecture,建築(学)
1031,globe,地球
1032,shade,陰
1033,avoid,を避ける
1034,burn,を焼く
1035,pack,を詰める
1036,pour,を注ぐ
1037,cool,冷える
1038,factor,要因
1039,drive,を駆り立てる
1040,primarily,主として
1041,primary,主要な
1042,elementary,初歩の
1043,social,社会の
1044,value,価値
1045,demand,を要求する
1046,equal,等しい
1047,emphasis,強調，重点
1048,tourist,旅行者
1049,board,板
1050,opportunity,機会
1051,talk,話す／話
1052,issue,問題
1053,communication,伝達
1054,conversation,会話
1055,entertain,を楽しませる
1056,amuse,を楽しませる
1057,bore,を退屈させる
1058,dull,退屈な，つまらない
1059,guest,招待客
1060,combine,を組み合わせる
1061,progressive,進歩的な
1062,advance,進歩
1063,improve,を改善する
1064,enhance,を高める
1065,gather,集まる
1066,collect,を集める
1067,once,1度
1068,course,進路
1070,entire,全体の
1071,base,土台
1072,basic,基礎の
1073,theme,主題
1074,subject,主題
1075,dress,に衣服を着せる
1076,according,～によれば
1077,customer,顧客
1078,client,依頼人
1079,passenger,乗客
1080,audience,視聴者
1081,successful,成功した
1082,success,成功
1083,succeed,成功する
1084,location,場所
1085,tiring,疲れさせる
1086,stop,をやめる
1087,prevent,を防ぐ
1088,disturb,を邪魔する
1089,interrupt,さえぎる
1090,abandon,を(見)捨てる
1091,division,部門
1092,divide,を分割する
1093,separate,を分ける
1094,overall,全体の
1095,serve,仕える
1096,service,公共事業
1097,final,最後の
1098,ultimate,究極の
1099,dessert,デザート
1100,apart,離れて
1101,perhaps,ひょっとすると
1102,ingredient,材料
1103,share,を共有する
1104,distribute,を分配する
1105,famous,《～で》有名な
1106,modern,現代の
1107,ancient,古代の
1108,doctor,医者
1109,public,公共の
1110,official,公の
1111,private,個人の
1112,region,地域
1113,district,地域
1114,solve,を解決する
1115,resolve,を解決する
1116,settle,を決める
1117,mystery,不思議
1118,hope,望む／希望
1119,wish,願う
1120,secret,秘密
1121,medical,医学の
1122,medicine,薬
1123,poison,毒
1124,therapy,治療
1125,surgery,手術
1126,age,年齢
1127,physical,身体の
1128,mental,精神的な
1129,benefit,恩恵
1130,field,畑
1131,ground,土地
1132,surface,表面
1133,rough,ざらざらした
1134,smooth,平らな
1135,simple,簡単な，単純な
1136,diet,食事
1137,vitamin,ビタミン
1138,nutrition,栄養
1139,low,低い
1140,rise,上がる
1141,lift,〜を上げる
1142,fat,太っている
1143,generation,世代
1144,infant,幼児
1145,childhood,子供時代
1146,teenager,10代の若者
1147,youth,若者
1148,senior,先輩の
1149,elder,年上の／長老
1150,profit,利益
1151,advantage,有利
1152,merit,長所
1153,amaze,をとても驚かせる
1154,birth,誕生
1155,record,記録
1156,general,一般的な
1157,individual,個々の
1158,eyesight,視力
1159,vision,視力
1160,blind,目の見えない
1161,deaf,耳が聞こえない
1162,serious,重大な
1163,disease,病気
1164,direction,方向
1165,rich,裕福な
1166,abundant,豊富な
1167,wealthy,裕福な
1168,wildlife,野生生物
1169,symptom,徴候
1170,fever,熱
1171,cough,せきをする
1172,virus,ウイルス
1173,infect,に感染する
1174,hurt,にけがをさせる
1175,injure,にけがをさせる
1176,wound,を傷つける
1177,cancer,がん
1178,cure,を治療する
1179,heal,を治す
1180,recover,回復する
1181,quite,まったく
1182,cook,料理する
1183,raw,生の
1184,local,地元の
1185,daily,日常の
1186,small,小さい
1187,huge,巨大な
1188,vast,膨大な
1189,enormous,莫大な
1190,tremendous,ものすごい
1191,consist,〜から成る
1192,largely,ほとんど
1193,grain,穀物
1194,corn,トウモロコシ
1195,bean,豆
1196,alcohol,アルコール
1197,smoke,煙
1198,similar,よく似た
1199,resemble,に似ている
1200,compare,比較する
1201,superior,優れた
1202,inferior,劣った
1203,inhabitant,住民
1204,resident,住民
1205,contain,を含む
1206,ordinary,普通の
1207,calorie,カロリー
1208,common,普通の
1209,mutual,相互の
1210,countryside,地方
1211,mostly,主に
1212,farmer,農場経営者
1213,farm,農場
1214,agriculture,農業
1215,physically,身体的に
1216,therefore,したがって
1217,thus,したがって
1218,otherwise,そうでなければ
1219,exercise,課題
1220,practice,練習
1221,practical,実際的な
1222,theory,理論
1223,addition,追加(分)
1224,seem,思われる
1225,worry,心配する
1226,concern,を心配させる
1227,anxious,心配して
1228,annoy,をいらいらさせる
1229,nervous,神経の
1230,upset,をあわてさせる
1231,bother,悩む
1232,stress,緊張
1233,quiet,静かな
1234,calm,穏やかな
1235,noisy,騒々しい
1236,freedom,自由
1237,free,自由な
1238,marvelous,すばらしい
1239,object,物
1240,target,的
1241,resist,抵抗する
1242,protest,に抗議する
1243,complain,不平を言う
1244,perfect,完全な
1245,universe,宇宙
1246,universal,全世界の
1247,job,仕事
1248,point,点
1249,view,見解
1250,opinion,意見
1251,sight,見ること
1252,fry,を炒める
1253,boil,を煮る
1254,pan,平なべ
1255,failure,失敗
1256,real,実在する
1257,nature,自然(界)
1258,shell,(貝)殻
1259,profession,職業
1260,occupation,職業
1261,occupy,を占める
1262,employ,を雇う
1263,act,行動する
1264,react,反応する
1265,gentle,優しい
1266,shock,衝撃
1267,absorb,を吸収する
1268,develop,を発達させる
1269,mineral,鉱物
1270,build,を建てる
1271,construct,を建設する
1272,establish,を設立する
1273,found,を創立する
1274,constitute,を構成する
1275,thin,薄い
1276,thick,厚い
1277,flexible,柔軟な
1278,skin,皮膚
1279,tightly,ぴったりと
1280,tight,しっかり固定した
1281,attach,を取り付ける
1282,praise,賞賛／を賞賛する
1283,admire,賞賛する
1284,respect,尊敬
1285,ignore,を無視する
1286,insult,を侮辱する
1287,blame,を非難する
1288,apologize,謝る
1289,shame,恥
1290,notice,に気づく／注意
1291,realize,を悟る
1292,aware,気づいて
1293,conscious,気づいて
1294,lay,を置く
1295,space,場所
1296,completely,完全に
1297,absolutely,まったく
1298,rather,むしろ
1299,relatively,比較的
1300,shrink,縮む
1301,oxygen,酸素
1302,satellite,人工衛星
1303,gravity,重力
1304,excellent,非常に優れた
1305,fantastic,すてきな
1306,fine,立派な
1307,noble,気高い
1308,treasure,宝物
1309,curve,を曲げる
1310,design,設計(図)
1311,strength,力
1312,force,無理やり…させる
1313,enough,必要なだけの
1314,beneath,の下に
1315,weight,重量
1316,sit,座る
1317,produce,を生産する
1318,consume,を消費する
1319,manufacture,を製造する
1320,escape,逃げる
1321,wonder,…かしらと思う
1322,wonderful,すばらしい
1323,particular,特定の
1324,specific,特定の
1325,adventure,冒険
1326,difference,違い
1327,differ,違う
1328,distinction,区別
1329,distinct,明瞭な
1330,distinguish,区別する
1331,scholar,学者
1332,influence,影響
1333,understanding,理解，知識
1334,cultural,文化的な
1335,gender,性
1336,literacy,読み書きの能力
1337,convey,を伝える
1338,deliver,を伝える
1339,transport,を輸送する
1340,traffic,交通(量)
1341,belief,信念
1342,perception,認識
1343,reality,現実
1344,perspective,観点
1345,aspect,側面
1346,identity,身元，正体
1347,race,競争
1348,racial,人種の
1349,novelist,小説家
1350,novel,小説
1351,author,著者
1352,recognize,を認識する
1353,appreciate,の真価を認める
1354,pattern,様式
1355,visually,視覚的に(は)
1356,speak,話す
1357,print,を印刷する
1358,language,言語
1359,grammar,文法
1360,text,本文
1361,translation,翻訳(書)
1362,interpretation,解釈
1363,behave,振る舞う
